name,color
Brides aged under 20 ,#e41a1c
Brides aged 20-24 ,#377eb8
Brides aged 25-29 ,#4daf4a
Brides aged 30-34 ,#984ea3
Brides aged 35-39 ,#ff7f00
Brides aged 40-44 ,#DAC237
Brides aged 45-49 ,#a65628
Brides aged above 50 ,#f781bf
Grooms aged under 20 ,#e41a1c
Grooms aged 20-24 ,#377eb8
Grooms aged 25-29 ,#4daf4a
Grooms aged 30-34 ,#984ea3
Grooms aged 35-39 ,#ff7f00
Grooms aged 40-44 ,#DAC237
Grooms aged 45-49 ,#a65628
Grooms aged above 50 ,#f781bf
