Year,Value
1984,561
1985,533
1986,407
1987,537
1988,588
1989,569
1990,634
1991,657
1992,661
1993,681
1994,648
1995,696
1996,623
1997,709
1998,664
1999,675
2000,611
2001,625
2002,702
2003,587
2004,573
2005,602
2006,558
2007,598
2008,572
2009,624
2010,611
2011,670
2012,593
2013,622
2014,627
2015,505
