Year,Value
1984,1966
1985,1809
1986,1484
1987,1880
1988,2087
1989,1950
1990,2109
1991,2170
1992,2358
1993,2273
1994,2234
1995,2145
1996,1990
1997,2072
1998,1771
1999,1850
2000,1441
2001,1435
2002,1386
2003,1192
2004,1348
2005,1493
2006,1500
2007,1329
2008,1420
2009,1535
2010,1277
2011,1327
2012,1355
2013,1159
2014,1196
2015,1160
