Year,Value
1984,14137
1985,12887
1986,10545
1987,12473
1988,12709
1989,11710
1990,11544
1991,11393
1992,11574
1993,10702
1994,9903
1995,9200
1996,8503
1997,8433
1998,7260
1999,7547
2000,6001
2001,5702
2002,5101
2003,4277
2004,4105
2005,4494
2006,4086
2007,3812
2008,3656
2009,3643
2010,3228
2011,3391
2012,3353
2013,2469
2014,2402
2015,2113
