Year,Value
1984,1015
1985,946
1986,804
1987,1002
1988,1255
1989,1184
1990,1323
1991,1628
1992,1875
1993,1857
1994,1960
1995,2164
1996,2119
1997,2412
1998,2042
1999,2443
2000,2104
2001,2093
2002,2457
2003,2406
2004,2793
2005,2818
2006,3040
2007,2983
2008,3005
2009,3181
2010,2639
2011,2984
2012,3037
2013,2666
2014,2943
2015,3147
