Year,Value
1984,865
1985,832
1986,688
1987,902
1988,1011
1989,973
1990,1050
1991,1269
1992,1386
1993,1594
1994,1715
1995,1853
1996,1778
1997,1916
1998,1706
1999,1987
2000,1607
2001,1629
2002,1701
2003,1554
2004,1272
2005,1438
2006,1408
2007,1353
2008,1189
2009,1296
2010,982
2011,1117
2012,1094
2013,963
2014,974
2015,1024
