Year,Value
1984,72
1985,81
1986,85
1987,103
1988,134
1989,133
1990,173
1991,203
1992,209
1993,241
1994,300
1995,297
1996,301
1997,348
1998,372
1999,426
2000,415
2001,438
2002,551
2003,496
2004,458
2005,485
2006,538
2007,598
2008,622
2009,638
2010,625
2011,732
2012,755
2013,743
2014,760
2015,642
