Year,Value
1984,145
1985,154
1986,133
1987,203
1988,246
1989,264
1990,279
1991,323
1992,359
1993,400
1994,452
1995,517
1996,555
1997,652
1998,644
1999,851
2000,789
2001,912
2002,1066
2003,1105
2004,1164
2005,1289
2006,1471
2007,1582
2008,1740
2009,2007
2010,1891
2011,2129
2012,2211
2013,2114
2014,2490
2015,2490
