Year,Value
1984,468
1985,435
1986,413
1987,531
1988,542
1989,564
1990,670
1991,688
1992,774
1993,880
1994,905
1995,1051
1996,1147
1997,1325
1998,1165
1999,1488
2000,1363
2001,1276
2002,1462
2003,1472
2004,1380
2005,1430
2006,1486
2007,1511
2008,1549
2009,1682
2010,1608
2011,1766
2012,1787
2013,1704
2014,1680
2015,1848
