Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,0,0,0,1,1,1,4,1,4,4,
1985,0,0,1,0,2,1,3,3,5,4,
1986,0,0,0,0,1,3,4,2,8,7,
1987,0,0,0,0,1,1,1,4,3,4,
1988,0,0,0,0,1,2,3,5,4,5,
1989,0,0,1,0,1,1,8,5,4,9,
1990,0,0,0,0,1,1,6,6,5,8,
1991,0,1,0,0,0,5,6,12,7,12,
1992,0,0,0,1,0,2,3,11,4,16,
1993,0,0,0,0,7,2,4,12,10,9,
1994,0,0,0,0,2,2,3,8,13,6,
1995,0,0,0,0,1,2,6,11,7,7,
1996,0,0,0,2,3,3,7,7,10,14,
1997,0,1,0,1,1,3,8,9,17,13,
1998,0,0,0,1,3,3,16,17,16,11,
1999,0,1,1,3,3,2,13,19,19,18,
2000,0,0,1,3,5,4,7,20,10,15,
2001,0,0,1,2,2,3,9,22,10,21,
2002,0,0,2,0,2,5,13,19,17,26,
2003,0,0,1,3,2,10,8,23,15,15,
2004,0,0,1,2,2,12,17,24,14,25,
2005,0,2,1,3,5,8,15,32,16,28,
2006,0,1,1,3,4,7,16,30,20,20,
2007,0,0,0,2,2,9,21,37,31,29,
2008,0,0,0,1,3,4,20,38,29,25,
2009,0,0,1,1,9,14,26,40,37,34,
2010,0,0,5,1,4,8,32,45,43,33,
2011,0,3,0,8,3,12,25,54,47,41,
2012,0,0,2,0,3,15,27,46,41,38,
2013,0,1,5,0,4,14,24,44,39,34,
2014,0,0,2,6,6,15,29,49,50,55,
2015,0,0,3,6,5,8,28,51,55,43,
