Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,9,118,355,404,168,12,2,1,0,0,
1985,7,119,340,374,178,20,6,2,0,0,
1986,4,110,323,359,172,16,4,1,0,0,
1987,5,131,411,491,243,32,4,1,0,0,
1988,7,170,386,530,214,44,5,1,0,0,
1989,6,158,459,572,243,49,6,1,0,0,
1990,4,201,500,628,298,49,8,1,0,0,
1991,7,163,530,652,343,35,5,0,1,0,
1992,22,229,629,767,349,66,13,0,0,0,
1993,15,233,633,765,392,56,16,7,1,0,
1994,14,309,690,732,403,66,16,2,0,0,
1995,14,296,706,696,400,67,15,1,1,0,
1996,18,313,620,816,369,72,11,3,0,0,
1997,13,306,716,749,415,85,18,1,0,0,
1998,17,280,703,688,359,69,15,3,0,0,
1999,16,295,771,773,385,96,21,3,0,0,
2000,9,285,722,668,331,77,23,5,1,0,
2001,18,301,687,711,308,52,8,2,0,0,
2002,16,281,716,814,301,65,12,2,0,0,
2003,11,245,665,706,324,73,8,2,1,0,
2004,19,279,694,775,336,73,15,2,1,0,
2005,36,305,705,859,428,82,26,5,2,0,
2006,41,293,784,906,424,74,12,4,2,0,
2007,32,298,814,965,456,82,14,2,0,0,
2008,36,277,801,1049,517,90,17,3,0,0,
2009,40,315,894,1125,590,93,22,9,0,0,
2010,22,272,856,1045,556,85,24,4,3,0,
2011,21,280,889,1262,631,140,25,3,0,0,
2012,18,248,921,1319,668,102,23,3,1,0,
2013,13,235,796,1218,654,122,19,4,1,0,
2014,15,197,808,1359,734,131,32,6,1,1,
2015,15,194,764,1350,720,129,30,5,1,0,
