Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,0,3,12,12,27,16,13,1,3,1,
1985,0,2,3,12,22,12,11,3,2,0,
1986,0,4,4,9,16,13,10,2,0,0,
1987,0,3,11,13,26,16,15,4,1,0,
1988,0,2,5,12,25,18,11,5,1,0,
1989,0,1,8,24,22,19,17,5,3,0,
1990,0,2,11,19,24,21,17,6,0,0,
1991,1,5,11,18,23,33,19,12,1,0,
1992,1,3,7,20,34,34,23,11,2,2,
1993,0,6,10,25,28,34,28,12,2,2,
1994,0,6,14,24,18,28,25,8,3,2,
1995,0,7,20,6,15,36,19,11,2,1,
1996,0,3,18,21,42,36,28,7,2,1,
1997,0,2,17,19,33,42,31,9,1,0,
1998,0,6,25,36,34,36,32,17,2,1,
1999,0,5,23,42,50,65,45,19,2,2,
2000,1,8,24,28,44,51,35,20,2,4,
2001,0,10,37,43,50,43,44,22,5,1,
2002,1,15,28,42,39,53,36,19,4,1,
2003,6,18,34,53,53,54,39,23,10,1,
2004,5,18,54,67,77,57,55,24,7,2,
2005,6,30,73,106,98,83,64,32,9,5,
2006,4,29,77,86,97,97,71,30,9,2,
2007,12,21,56,91,116,87,69,37,6,1,
2008,8,27,62,105,100,112,66,38,10,1,
2009,8,39,88,109,137,109,77,40,12,1,
2010,5,45,70,113,119,84,99,45,8,2,
2011,6,40,103,107,147,137,95,54,10,4,
2012,3,40,91,109,123,145,90,46,19,5,
2013,4,28,78,120,130,117,101,44,12,1,
2014,4,37,44,129,110,135,103,49,14,1,
2015,1,15,67,86,120,130,94,51,12,2,
