Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,3,419,4025,1993,355,60,27,12,3,3,
1985,1,388,3775,1913,340,54,25,3,1,0,
1986,1,335,3052,1719,323,50,23,4,3,2,
1987,1,407,3923,2184,411,82,23,11,1,1,
1988,0,404,4276,2346,386,70,31,5,2,0,
1989,1,390,3934,2226,459,71,26,8,5,1,
1990,0,409,4171,2447,500,106,25,11,6,3,
1991,3,454,4417,2485,530,110,25,11,6,5,
1992,5,437,4508,2729,629,130,24,7,8,1,
1993,5,403,4512,2623,633,130,43,10,2,4,
1994,3,401,4284,2580,690,184,50,14,8,4,
1995,1,393,4556,2500,706,186,60,20,2,3,
1996,0,431,4552,2501,620,178,57,18,6,4,
1997,0,472,5141,2480,716,206,57,17,2,2,
1998,0,424,4609,2257,703,237,66,25,9,5,
1999,0,418,5575,2612,771,239,96,23,10,4,
2000,1,340,4775,2321,722,251,67,24,5,3,
2001,1,363,4562,2269,687,269,90,37,14,5,
2002,1,294,5137,2568,716,244,108,28,11,4,
2003,1,290,4834,2561,665,238,84,34,12,4,
2004,1,286,4329,2551,694,258,115,54,13,6,
2005,1,306,4187,2631,705,349,174,73,18,10,
2006,0,289,4647,2780,784,343,132,77,22,8,
2007,3,263,4609,2867,814,332,158,56,29,7,
2008,1,313,4957,2857,801,325,143,62,26,7,
2009,0,306,5256,3081,894,355,182,88,31,16,
2010,1,288,4549,2819,856,324,183,70,36,11,
2011,3,251,5161,3298,889,358,188,103,39,21,
2012,0,308,4996,3349,921,343,183,91,38,15,
2013,2,271,4574,3048,796,337,141,78,31,18,
2014,1,277,5312,3446,808,345,129,44,26,15,
2015,1,274,5232,3494,764,285,108,67,29,15,
