Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,0,0,0,0,0,0,0,3,2,2,
1985,0,0,0,0,0,0,3,2,2,1,
1986,0,0,0,0,0,0,0,0,5,3,
1987,0,0,0,0,0,0,0,1,1,2,
1988,0,0,0,0,0,0,0,1,1,3,
1989,0,0,0,0,0,0,2,3,2,2,
1990,0,0,0,0,0,0,0,0,2,5,
1991,0,0,0,0,1,0,0,1,5,7,
1992,0,0,0,0,0,0,2,2,2,4,
1993,0,0,0,0,1,0,1,2,2,7,
1994,0,0,0,0,0,2,1,3,4,4,
1995,0,0,0,0,1,0,1,2,9,11,
1996,0,0,0,0,0,1,1,2,7,5,
1997,0,0,0,0,0,1,6,1,3,7,
1998,0,0,0,1,0,0,1,2,1,11,
1999,0,0,0,0,0,0,1,2,7,17,
2000,0,0,0,0,1,1,2,2,5,9,
2001,0,0,0,0,0,0,2,5,7,10,
2002,0,0,0,1,0,2,0,4,10,16,
2003,0,0,0,0,1,0,4,10,5,15,
2004,0,0,1,1,1,3,5,7,7,15,
2005,0,0,0,0,2,4,4,9,18,13,
2006,0,0,0,1,2,0,6,9,11,27,
2007,0,0,0,1,0,0,5,6,11,22,
2008,0,0,1,0,0,2,1,10,13,28,
2009,0,0,0,0,0,1,4,12,24,38,
2010,0,1,0,0,3,3,4,8,11,24,
2011,0,0,0,0,0,0,7,10,22,28,
2012,0,0,1,1,1,2,7,19,17,43,
2013,0,0,0,0,1,1,2,12,23,35,
2014,0,0,0,0,1,1,4,14,22,38,
2015,0,0,2,2,1,4,6,12,22,36,
