Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,0,0,1,11,12,38,30,16,6,2,
1985,0,0,8,6,20,34,35,12,4,4,
1986,0,0,3,9,16,29,31,13,6,2,
1987,0,0,6,16,32,33,35,16,8,4,
1988,0,0,9,26,44,38,29,18,10,11,
1989,0,1,6,15,49,61,37,19,12,9,
1990,0,0,7,20,49,76,39,21,13,7,
1991,0,1,9,30,35,74,53,33,17,9,
1992,0,1,5,31,66,101,59,34,16,12,
1993,0,1,11,31,56,119,61,34,16,8,
1994,0,1,8,33,66,104,71,28,12,13,
1995,0,0,7,27,67,132,53,36,12,17,
1996,0,3,19,32,72,127,80,36,14,8,
1997,0,1,8,50,85,125,102,42,17,5,
1998,0,0,11,44,69,121,87,36,22,12,
1999,0,1,12,30,96,149,104,65,17,10,
2000,0,3,13,34,77,148,97,51,23,17,
2001,0,0,18,31,52,129,109,43,17,10,
2002,0,1,14,27,65,115,88,53,29,15,
2003,0,1,11,33,73,128,101,54,24,12,
2004,0,4,12,31,73,118,108,57,32,13,
2005,0,2,15,41,82,145,137,83,43,34,
2006,0,2,15,50,74,142,124,97,64,34,
2007,0,1,18,38,82,164,129,87,50,29,
2008,0,7,12,42,90,172,145,112,64,46,
2009,0,3,23,47,93,150,152,109,64,49,
2010,0,1,21,50,85,174,156,84,52,32,
2011,1,5,30,60,140,183,180,137,90,56,
2012,1,2,18,52,102,225,178,145,76,78,
2013,0,5,16,60,122,192,158,117,76,67,
2014,0,3,22,78,131,225,178,135,92,50,
2015,0,6,25,67,129,233,179,130,88,57,
