Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,350,4980,4025,321,40,1,0,0,0,0,
1985,304,4447,3775,292,39,8,0,1,0,0,
1986,242,3461,3052,276,30,3,0,0,0,0,
1987,241,4110,3923,344,47,6,1,0,0,0,
1988,246,4380,4276,355,39,9,1,0,0,0,
1989,232,3755,3934,402,44,6,0,1,0,0,
1990,274,3762,4171,390,50,7,0,0,0,0,
1991,246,3873,4417,421,39,9,0,0,0,0,
1992,234,4066,4508,435,61,5,2,0,0,0,
1993,187,3838,4512,443,56,11,0,0,0,0,
1994,154,3619,4284,417,50,8,1,0,0,0,
1995,143,3586,4556,483,55,7,3,0,0,0,
1996,127,3202,4552,453,62,19,2,0,0,0,
1997,103,3553,5141,492,68,8,1,0,0,0,
1998,152,2986,4609,461,61,11,1,0,0,0,
1999,148,3331,5575,465,70,12,2,1,0,0,
2000,136,2586,4775,443,67,13,4,1,0,0,
2001,120,2539,4562,467,76,18,1,1,0,0,
2002,94,2516,5137,504,62,14,4,2,0,0,
2003,66,2104,4834,460,55,11,1,1,0,0,
2004,64,1872,4329,536,67,12,0,1,1,0,
2005,64,1724,4187,470,59,15,6,1,0,0,
2006,66,1690,4647,578,73,15,2,1,0,0,
2007,74,1568,4609,581,87,18,5,0,0,0,
2008,62,1448,4957,582,83,12,6,0,1,0,
2009,60,1603,5256,634,109,23,8,1,0,0,
2010,56,1273,4549,626,95,21,5,5,0,1,
2011,36,1315,5161,725,120,30,4,0,0,1,
2012,38,1388,4996,749,126,18,5,2,1,0,
2013,44,1107,4574,693,126,16,3,5,0,0,
2014,24,1159,5312,761,106,22,4,2,0,0,
2015,24,1095,5232,701,97,25,12,3,2,0,
