Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,32,3322,4980,976,118,14,4,3,2,2,
1985,17,3122,4447,892,119,18,5,2,1,0,
1986,15,2418,3461,781,110,16,3,4,0,0,
1987,17,2592,4110,911,131,29,6,3,1,1,
1988,18,2727,4380,1019,170,20,3,2,2,0,
1989,13,2451,3755,1000,158,26,9,1,1,0,
1990,12,2159,3762,978,201,40,6,2,0,0,
1991,18,2234,3873,1107,163,32,8,5,0,0,
1992,16,2028,4066,1182,229,40,17,3,1,1,
1993,27,1912,3838,1269,233,66,10,6,1,1,
1994,21,1970,3619,1232,309,72,19,6,5,4,
1995,15,1962,3586,1276,296,81,27,7,3,1,
1996,21,1738,3202,1190,313,81,16,3,0,0,
1997,14,2132,3553,1066,306,75,24,2,2,0,
1998,14,1535,2986,902,280,92,26,6,5,1,
1999,24,1749,3331,843,295,108,29,5,3,0,
2000,17,1311,2586,780,285,127,41,8,4,0,
2001,24,1195,2539,789,301,118,45,10,7,6,
2002,12,1227,2516,817,281,123,41,15,4,1,
2003,10,981,2104,712,245,134,49,18,5,2,
2004,11,958,1872,727,279,145,65,18,10,3,
2005,10,892,1724,707,305,200,91,30,17,5,
2006,18,889,1690,726,293,142,61,29,15,6,
2007,9,804,1568,577,298,166,80,21,19,7,
2008,18,768,1448,651,277,141,90,27,7,5,
2009,15,794,1603,596,315,148,92,39,11,4,
2010,10,682,1273,532,272,136,101,45,23,13,
2011,13,760,1315,598,280,149,90,40,14,9,
2012,10,820,1388,605,248,126,78,40,22,6,
2013,13,681,1107,569,235,85,46,28,16,5,
2014,16,626,1159,466,197,103,44,37,6,4,
2015,11,545,1095,414,194,93,47,15,7,6,
