Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,2,14,60,103,107,38,9,1,0,0,
1985,1,18,54,68,97,34,9,1,0,0,
1986,1,16,50,110,101,29,5,3,0,0,
1987,1,29,82,117,117,33,8,1,0,0,
1988,3,20,70,118,146,38,6,2,0,0,
1989,1,26,71,134,132,61,8,1,0,0,
1990,3,40,106,160,172,76,9,1,0,0,
1991,6,32,110,170,172,74,17,5,0,0,
1992,6,40,130,195,193,101,15,2,0,0,
1993,3,66,130,200,213,119,7,2,0,0,
1994,3,72,184,227,245,104,14,2,2,1,
1995,3,81,186,238,239,132,21,2,0,0,
1996,3,81,178,258,256,127,29,3,1,0,
1997,3,75,206,256,257,125,26,3,1,0,
1998,8,92,237,255,248,121,38,3,0,0,
1999,4,108,239,291,300,149,40,2,0,0,
2000,5,127,251,276,250,148,27,4,1,0,
2001,6,118,269,295,261,129,26,3,0,0,
2002,7,123,244,283,240,115,46,5,2,0,
2003,6,134,238,304,230,128,42,10,0,0,
2004,14,145,258,352,272,118,40,12,3,0,
2005,43,200,349,425,320,145,42,8,4,1,
2006,28,142,343,350,291,142,26,7,0,0,
2007,30,166,332,394,337,164,31,9,0,0,
2008,27,141,325,423,348,172,45,4,2,0,
2009,19,148,355,422,381,150,40,14,1,0,
2010,15,136,324,404,377,174,51,8,3,0,
2011,7,149,358,440,397,183,36,12,0,0,
2012,9,126,343,500,396,225,44,15,2,1,
2013,11,85,337,439,409,192,44,14,1,1,
2014,3,103,345,509,484,225,71,15,1,0,
2015,9,93,285,544,504,233,61,8,4,0,
