Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,718,3322,419,31,3,0,0,0,0,0,
1985,671,3122,388,22,2,0,1,0,0,0,
1986,488,2418,335,30,6,0,0,0,0,0,
1987,513,2592,407,32,6,0,0,0,0,0,
1988,451,2727,404,43,6,0,0,0,0,0,
1989,418,2451,390,25,3,1,0,0,0,0,
1990,364,2159,409,47,9,0,0,0,0,0,
1991,321,2234,454,35,5,1,0,1,0,0,
1992,341,2028,437,40,7,1,0,0,0,0,
1993,276,1912,403,38,4,1,1,0,0,0,
1994,227,1970,401,36,3,1,1,0,0,0,
1995,221,1962,393,44,6,0,0,0,0,0,
1996,231,1738,431,34,6,3,0,0,0,0,
1997,222,2132,472,37,3,1,0,1,0,0,
1998,237,1535,424,33,8,0,0,0,0,0,
1999,214,1749,418,34,7,1,0,1,0,0,
2000,205,1311,340,27,3,3,0,0,0,0,
2001,180,1195,363,25,4,0,0,0,0,0,
2002,155,1227,294,22,6,1,0,0,0,0,
2003,136,981,290,32,6,1,1,0,0,0,
2004,144,958,286,31,4,4,0,0,0,0,
2005,133,892,306,42,9,2,2,2,0,0,
2006,119,889,289,45,12,2,0,1,0,0,
2007,128,804,263,45,10,1,2,0,0,0,
2008,116,768,313,34,5,7,2,0,0,0,
2009,102,794,306,52,11,3,2,0,0,0,
2010,107,682,288,39,18,1,3,0,1,0,
2011,99,760,251,57,12,5,5,3,0,0,
2012,80,820,308,68,16,2,3,0,0,0,
2013,77,681,271,41,18,5,3,1,0,0,
2014,64,626,277,45,17,3,2,0,0,0,
2015,51,545,274,32,12,6,1,0,0,0,
