Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,56,976,1993,807,97,11,2,1,0,0,
1985,44,892,1913,781,91,6,0,0,0,0,
1986,39,781,1719,717,94,9,1,0,0,0,
1987,43,911,2184,1028,114,16,5,0,0,0,
1988,54,1019,2346,1124,128,26,4,0,0,0,
1989,55,1000,2226,1069,152,15,3,0,0,0,
1990,63,978,2447,1160,161,20,4,0,0,1,
1991,66,1107,2485,1222,169,30,0,0,0,0,
1992,76,1182,2729,1290,192,31,6,1,0,0,
1993,74,1269,2623,1292,202,31,5,0,0,0,
1994,66,1232,2580,1203,190,33,7,0,0,0,
1995,66,1276,2500,1253,192,27,4,0,0,0,
1996,45,1190,2501,1191,191,32,3,2,0,0,
1997,43,1066,2480,1211,187,50,7,1,0,0,
1998,49,902,2257,1015,176,44,7,1,1,0,
1999,52,843,2612,1242,183,30,5,3,0,0,
2000,28,780,2321,1083,184,34,5,3,0,1,
2001,31,789,2269,1124,200,31,6,2,0,0,
2002,32,817,2568,1239,181,27,7,0,1,0,
2003,22,712,2561,1343,184,33,7,3,0,0,
2004,38,727,2551,1456,216,31,6,2,1,0,
2005,49,707,2631,1585,199,41,6,3,0,0,
2006,40,726,2780,1711,251,50,8,3,1,1,
2007,32,577,2867,1831,284,38,4,2,1,0,
2008,36,651,2857,1883,291,42,6,1,0,0,
2009,43,596,3081,2124,304,47,11,1,0,0,
2010,26,532,2819,2125,319,50,9,1,0,0,
2011,32,598,3298,2538,347,60,12,8,0,0,
2012,27,605,3349,2620,401,52,11,0,1,0,
2013,15,569,3048,2613,370,60,6,0,0,0,
2014,17,466,3446,2792,349,78,17,6,0,0,
2015,17,414,3494,2854,376,67,12,6,2,0,
