Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,0,4,27,44,53,30,17,4,0,0,
1985,1,5,25,44,47,35,8,3,3,0,
1986,1,3,23,36,49,31,16,4,0,0,
1987,1,6,23,45,54,35,16,1,0,1,
1988,1,3,31,39,50,29,5,3,0,1,
1989,2,9,26,43,43,37,16,8,2,0,
1990,1,6,25,49,61,39,9,6,0,0,
1991,1,8,25,37,52,53,21,6,0,0,
1992,1,17,24,61,73,59,12,3,2,0,
1993,0,10,43,54,73,61,33,4,1,0,
1994,0,19,50,63,89,71,28,3,1,0,
1995,1,27,60,74,87,53,40,6,1,0,
1996,1,16,57,89,110,80,31,7,1,1,
1997,0,24,57,77,95,102,44,8,6,2,
1998,1,26,66,103,86,87,34,16,1,0,
1999,2,29,96,104,122,104,55,13,1,2,
2000,1,41,67,116,122,97,47,7,2,1,
2001,2,45,90,117,107,109,39,9,2,3,
2002,2,41,108,126,111,88,56,13,0,0,
2003,4,49,84,145,108,101,56,8,4,0,
2004,6,65,115,151,136,108,62,17,5,1,
2005,29,91,174,229,196,137,60,15,4,0,
2006,18,61,132,237,220,124,79,16,6,1,
2007,20,80,158,229,179,129,55,21,5,1,
2008,11,90,143,180,204,145,69,20,1,0,
2009,19,92,182,209,232,152,83,26,4,2,
2010,8,101,183,196,224,156,87,32,4,2,
2011,14,90,188,214,216,180,96,25,7,1,
2012,7,78,183,221,238,178,85,27,7,1,
2013,2,46,141,226,201,158,96,24,2,2,
2014,3,44,129,215,198,178,72,29,4,0,
2015,3,47,108,196,223,179,99,28,6,2,
